"rules","support","confidence","lift"
"{颐和园} => {母鸡}",0.02,1,12.75
"{飞向蓝天的恐龙} => {乌塔}",0.012,1,13.161
"{卡罗纳,给予是快乐的} => {为中华之崛起而读书,那片绿绿的爬山虎}",0.02,0.889,11.699
"{独坐敬亭山,8、找规律} => {记金华的双龙洞}",0.017,0.778,9.917
"{尺有所短寸有所长,给予是快乐的} => {为中华之崛起而读书,那片绿绿的爬山虎}",0.025,1,13.161
"{尺有所短寸有所长,给予是快乐的} => {乌塔}",0.025,1,13.161
"{秦兵马俑} => {搭石}",0.012,0.714,9.401
"{尺有所短寸有所长} => {为中华之崛起而读书,那片绿绿的爬山虎}",0.032,1,13.161
"{尺有所短寸有所长} => {乌塔}",0.032,1,13.161
"{长城} => {颐和园,秦兵马俑}",0.02,0.667,10.88
"{长城} => {母鸡}",0.027,0.917,11.688
"{黄河是怎样变化的,蝙蝠和雷达} => {自然之道}",0.039,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达} => {将心比心}",0.039,1,13.161
"{记金华的双龙洞,七月的天山,中彩那天} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{记金华的双龙洞,七月的天山,中彩那天} => {独坐敬亭山,桂林山水}",0.015,0.857,10.929
"{记金华的双龙洞,七月的天山,中彩那天} => {自然之道}",0.017,1,14.069
"{记金华的双龙洞,七月的天山,中彩那天} => {将心比心}",0.015,0.857,11.281
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.015,0.857,12.952
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示} => {独坐敬亭山,桂林山水}",0.015,0.857,10.929
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示} => {自然之道}",0.017,1,14.069
"{黄河是怎样变化的,蝙蝠和雷达,大自然的启示} => {将心比心}",0.015,0.857,11.281
"{爬山虎的脚,蟋蟀的住宅} => {火烧云,古诗两首}",0.074,1,11.027
"{火烧云,古诗两首} => {爬山虎的脚,蟋蟀的住宅}",0.074,0.811,11.027
"{尊严} => {将心比心}",0.015,0.857,11.281
"{颐和园,秦兵马俑} => {母鸡}",0.059,0.96,12.24
"{母鸡} => {颐和园,秦兵马俑}",0.059,0.75,12.24
"{世界地图引起的发现} => {巨人的花园,幸福是什么,去年的树}",0.076,0.969,12.352
"{巨人的花园,幸福是什么,去年的树} => {世界地图引起的发现}",0.076,0.969,12.352
"{卡罗纳} => {搭石}",0.056,1,13.161
"{搭石} => {卡罗纳}",0.056,0.742,13.161
"{卡罗纳} => {古诗两首}",0.056,1,11.027
"{古诗两首} => {卡罗纳}",0.056,0.622,11.027
"{记金华的双龙洞} => {独坐敬亭山,桂林山水}",0.061,0.781,9.961
"{独坐敬亭山,桂林山水} => {记金华的双龙洞}",0.061,0.781,9.961
"{鸟的天堂} => {观潮}",0.022,0.692,5.649
"{鸟的天堂} => {白鹅}",0.025,0.769,4.684
"{大自然的启示} => {夜莺的歌声,小英雄雨来,一个中国孩子的呼声}",0.051,0.84,12.693
"{夜莺的歌声,小英雄雨来,一个中国孩子的呼声} => {大自然的启示}",0.051,0.778,12.693
"{为中华之崛起而读书,那片绿绿的爬山虎} => {乌塔}",0.056,0.742,9.765
"{乌塔} => {为中华之崛起而读书,那片绿绿的爬山虎}",0.056,0.742,9.765
"{雅鲁藏布大峡谷,鸟的天堂} => {观潮}",0.083,0.895,7.301
"{观潮} => {雅鲁藏布大峡谷,鸟的天堂}",0.083,0.68,7.301
"{搭石} => {古诗两首}",0.069,0.903,9.96
"{古诗两首} => {搭石}",0.069,0.757,9.96
