"rules","support","confidence","lift"
"{打电话,金色的鱼钩,桥,梦想的力量,将相和,草船借箭} => {半截蜡烛}",0.013,1,14.182
"{走遍天下书为侣,我的“长生果”,古诗词三首} => {窃读记,小苗与大树的对话}",0.019,1,6.783
"{童年的发现,儿童诗两首,杨氏之子} => {晏子使楚}",0.026,1,13
"{冬阳童年骆驼队} => {古诗三首}",0.019,1,12
"{冬阳童年骆驼队} => {把铁路修到拉萨去}",0.019,1,12
"{打电话,金色的鱼钩} => {半截蜡烛}",0.013,1,14.182
"{冬阳童年骆驼队,祖父的园子} => {古诗三首}",0.026,1,12
"{冬阳童年骆驼队,祖父的园子} => {把铁路修到拉萨去}",0.026,1,12
"{梦想的力量,将相和,草船借箭} => {景阳冈,猴王出世}",0.013,0.667,14.857
"{开国大典,青山处处埋忠骨} => {七律.长征}",0.032,1,6.5
"{杨氏之子} => {半截蜡烛}",0.019,0.75,10.636
"{杨氏之子} => {晏子使楚}",0.019,0.75,9.75
"{毛主席在花山} => {难忘的一课,最后一分钟}",0.013,1,11.143
"{毛主席在花山} => {圆明园的毁灭}",0.013,1,6.5
"{开国大典,毛主席在花山} => {七律.长征}",0.013,1,6.5
"{松鼠} => {假如没有尘埃}",0.019,0.6,4.07
"{松鼠} => {新型玻璃}",0.019,0.6,4.255
"{走遍天下书为侣} => {窃读记,小苗与大树的对话}",0.071,1,6.783
"{慈母情深} => {最后一分钟}",0.013,0.667,11.556
"{慈母情深} => {圆明园的毁灭}",0.013,0.667,4.333
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {半截蜡烛}",0.019,1,14.182
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {晏子使楚}",0.019,1,13
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {草原}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {白杨}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {古诗三首}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {把铁路修到拉萨去}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {丝绸之路}",0.019,1,11.143
"{难忘的一课} => {狼牙山五壮士}",0.045,1,7.429
"{难忘的一课} => {圆明园的毁灭}",0.045,1,6.5
"{地震中的父与子,慈母情深} => {“精彩极了”和“糟糕透了”,学会看病}",0.09,1,10.4
"{“精彩极了”和“糟糕透了”,学会看病} => {地震中的父与子,慈母情深}",0.09,0.933,10.4
"{小桥流水人家} => {鲸,松鼠}",0.064,1,8.667
"{小桥流水人家} => {新型玻璃}",0.064,1,7.091
"{走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {钓鱼的启示,通往广场的路不止一条}",0.038,1,9.75
"{走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {鲸,松鼠}",0.038,1,8.667
"{走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {窃读记,小苗与大树的对话}",0.038,1,6.783
"{走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {假如没有尘埃}",0.038,1,6.783
"{走遍天下书为侣,我的“长生果”,古诗词三首,梅花魂,桂花雨,小桥流水人家} => {新型玻璃}",0.038,1,7.091
"{开国大典,青山处处埋忠骨,毛主席在花山} => {七律.长征}",0.09,1,6.5
"{学会看病} => {狼牙山五壮士}",0.045,0.875,6.5
"{学会看病} => {圆明园的毁灭}",0.045,0.875,5.688
"{最后一分钟} => {七律.长征}",0.051,0.889,5.778
"{钓鱼的启示,通往广场的路不止一条} => {假如没有尘埃}",0.103,1,6.783
"{假如没有尘埃} => {钓鱼的启示,通往广场的路不止一条}",0.103,0.696,6.783
"{半截蜡烛} => {晏子使楚}",0.045,0.636,8.273
"{小苗与大树的对话} => {七律.长征}",0.032,0.833,5.417
"{小苗与大树的对话} => {圆明园的毁灭}",0.026,0.667,4.333
"{难忘的一课,最后一分钟} => {狼牙山五壮士}",0.083,0.929,6.898
"{狼牙山五壮士} => {难忘的一课,最后一分钟}",0.083,0.619,6.898
"{难忘的一课,最后一分钟} => {圆明园的毁灭}",0.083,0.929,6.036
"{草原} => {白杨}",0.077,0.923,11.077
"{白杨} => {草原}",0.077,0.923,11.077
"{草原} => {丝绸之路}",0.077,0.923,10.286
"{丝绸之路} => {草原}",0.077,0.857,10.286
"{白杨} => {丝绸之路}",0.077,0.923,10.286
"{丝绸之路} => {白杨}",0.077,0.857,10.286
"{古诗三首} => {把铁路修到拉萨去}",0.077,0.923,11.077
"{把铁路修到拉萨去} => {古诗三首}",0.077,0.923,11.077
"{鲸,松鼠} => {新型玻璃}",0.103,0.889,6.303
"{新型玻璃} => {鲸,松鼠}",0.103,0.727,6.303
"{狼牙山五壮士} => {圆明园的毁灭}",0.128,0.952,6.19
"{圆明园的毁灭} => {狼牙山五壮士}",0.128,0.833,6.19
"{冬阳童年骆驼队,古诗三首} => {把铁路修到拉萨去}",0.019,1,12
"{把铁路修到拉萨去,冬阳童年骆驼队} => {古诗三首}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,古诗三首} => {把铁路修到拉萨去}",0.026,1,12
"{把铁路修到拉萨去,冬阳童年骆驼队,祖父的园子} => {古诗三首}",0.026,1,12
"{开国大典,青山处处埋忠骨,最后一分钟} => {七律.长征}",0.032,1,6.5
"{半截蜡烛,杨氏之子} => {晏子使楚}",0.019,1,13
"{晏子使楚,杨氏之子} => {半截蜡烛}",0.019,1,14.182
"{毛主席在花山,难忘的一课,最后一分钟} => {圆明园的毁灭}",0.013,1,6.5
"{毛主席在花山,圆明园的毁灭} => {难忘的一课,最后一分钟}",0.013,1,11.143
"{假如没有尘埃,松鼠} => {新型玻璃}",0.019,1,7.091
"{松鼠,新型玻璃} => {假如没有尘埃}",0.019,1,6.783
"{慈母情深,最后一分钟} => {圆明园的毁灭}",0.013,1,6.5
"{慈母情深,小苗与大树的对话} => {圆明园的毁灭}",0.013,1,6.5
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {晏子使楚}",0.019,1,13
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {半截蜡烛}",0.019,1,14.182
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {草原}",0.019,1,12
"{草原,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {半截蜡烛}",0.019,1,14.182
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {白杨}",0.019,1,12
"{白杨,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {半截蜡烛}",0.019,1,14.182
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {古诗三首}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,古诗三首} => {半截蜡烛}",0.019,1,14.182
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {把铁路修到拉萨去}",0.019,1,12
"{把铁路修到拉萨去,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {半截蜡烛}",0.019,1,14.182
"{半截蜡烛,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {丝绸之路}",0.019,1,11.143
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,丝绸之路} => {半截蜡烛}",0.019,1,14.182
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {草原}",0.019,1,12
"{草原,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {晏子使楚}",0.019,1,13
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {白杨}",0.019,1,12
"{白杨,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {晏子使楚}",0.019,1,13
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {古诗三首}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,古诗三首} => {晏子使楚}",0.019,1,13
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {把铁路修到拉萨去}",0.019,1,12
"{把铁路修到拉萨去,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {晏子使楚}",0.019,1,13
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,晏子使楚} => {丝绸之路}",0.019,1,11.143
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,丝绸之路} => {晏子使楚}",0.019,1,13
"{草原,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {白杨}",0.019,1,12
"{白杨,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {草原}",0.019,1,12
"{草原,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {古诗三首}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,古诗三首} => {草原}",0.019,1,12
"{草原,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {把铁路修到拉萨去}",0.019,1,12
"{把铁路修到拉萨去,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {草原}",0.019,1,12
"{草原,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {丝绸之路}",0.019,1,11.143
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,丝绸之路} => {草原}",0.019,1,12
"{白杨,冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子} => {古诗三首}",0.019,1,12
"{冬阳童年骆驼队,祖父的园子,童年的发现,儿童诗两首,杨氏之子,古诗三首} => {白杨}",0.019,1,12
